Ending Weight Token,Ending Weight USD,Sale Rate,Total Proceeds,Unsold Tokens,Min Price
0.04,0.96,0.78,3093552.388,11000000,0.013122913
0.04,0.96,0.79,3215570.088,10500000,0.014242448
0.04,0.96,0.8,3343136.976,10000000,0.015497601
0.04,0.96,0.81,3476626.098,9500000,0.016911467
0.04,0.96,0.82,3616450.955,9000000,0.018512468
0.04,0.96,0.83,3763072.361,8500000,0.020335954
0.04,0.96,0.84,3917006.949,8000000,0.022426418
0.04,0.96,0.85,4078837.896,7500000,0.024840598
0.04,0.96,0.86,4249228.605,7000000,0.027651948
0.04,0.96,0.87,4428940.458,6500000,0.03095718
0.04,0.96,0.88,4618856.27,6000000,0.034886132
0.04,0.96,0.89,4820011.908,5500000,0.039617087
0.04,0.96,0.9,5033639.952,5000000,0.045401389
0.04,0.96,0.91,5261231.626,4500000,0.052604667
0.04,0.96,0.92,5504627.524,4000000,0.061779321
0.04,0.96,0.93,5766155.644,3500000,0.073799809
0.04,0.96,0.94,6048851.201,3000000,0.090134617
0.04,0.96,0.95,6356826.917,2500000,0.113447843
0.04,0.96,0.96,6695942.329,2000000,0.149111887
0.04,0.96,0.97,7075129.421,1500000,0.209774781
0.04,0.96,0.98,7509362.643,1000000,0.333771911
0.04,0.96,0.99,8027595.719,500000,0.715607183
0.05,0.95,0.01,9374.590529,49500000,0.000335696
0.05,0.95,0.02,19030.2016,49000000,0.000349706
0.05,0.95,0.03,28975.5214,48500000,0.000364325
0.05,0.95,0.04,39219.5319,48000000,0.000379584
0.05,0.95,0.05,49771.52027,47500000,0.000395512
0.05,0.95,0.06,60641.09071,47000000,0.000412141
0.05,0.95,0.07,71838.17686,46500000,0.000429507
0.05,0.95,0.08,83373.0548,46000000,0.000447645
0.05,0.95,0.09,95256.35666,45500000,0.000466593
0.05,0.95,0.1,107499.0848,45000000,0.000486391
0.05,0.95,0.11,120112.6268,44500000,0.000507081
0.05,0.95,0.12,133108.7709,44000000,0.000528709
0.05,0.95,0.13,146499.7226,43500000,0.000551321
0.05,0.95,0.14,160298.1216,43000000,0.000574969
0.05,0.95,0.15,174517.0601,42500000,0.000599704
0.05,0.95,0.16,189170.1012,42000000,0.000625584
0.05,0.95,0.17,204271.2993,41500000,0.000652667
0.05,0.95,0.18,219835.2206,41000000,0.000681017
